ProjectCode;BH_ID;Motherhole;HoleType;MaxDepth;DepthFrom;DepthTo;Date;Cr2O3_%;FeO_%;SiO2_%;MgO_%;Al2O3_%;CaO_%;P_%;Au_ICP_ppm;Pt_ICP_ppm;Pd_ICP_ppm;Rh_ICP_ppm;Ir_ICP_ppm;Ru_ICP_ppm;Stratigraphy;Filter
J1925;ZK136;ZK136;borehole;281.16;156.49;156.67;19. Sep 13;37.71;22.19;10.40;14.00;13.50;0.83;0.00;0.01;0.79;0.23;0.24;0.11;0.37;MG1;1
J1922;ZK137;ZK137;borehole;155.12;33.65;34.44;19. Sep 13;32.95;20.72;7.20;10.20;14.00;6.87;0.00;0.01;0.83;0.22;0.21;0.13;0.45;MG1;1
J1918;ZK138;ZK138;borehole;133.82;15.73;15.99;19. Sep 13;31.43;21.22;11.00;11.70;13.90;4.75;0.00;0.01;0.89;0.09;0.19;0.10;0.36;MG1;1
J1912;ZK140;ZK140;borehole;251.21;29.52;29.83;19. Sep 13;39.59;22.12;7.90;12.20;14.40;1.10;0.00;0.01;0.50;0.12;0.15;0.10;0.44;MG1;1
J1913;ZK140;ZK140;borehole;251.21;29.92;30.14;19. Sep 13;42.02;23.45;6.30;11.10;14.60;0.28;0.00;0.01;0.78;0.24;0.20;0.12;0.42;MG1;1
J1918;ZK142;ZK142;borehole;247.8;130.92;131.25;19. Sep 13;40.40;22.47;7.20;12.00;14.10;0.86;0.00;0.01;0.46;0.13;0.15;0.11;0.47;MG1;1
J1919;ZK142;ZK142;borehole;247.8;131.37;131.58;19. Sep 13;38.84;24.78;7.30;11.10;14.60;0.62;0.00;0.01;0.84;0.24;0.21;0.11;0.42;MG1;1
J1918;ZK143;ZK143;borehole;193.82;76.76;77.1;19. Sep 13;38.94;22.21;8.20;12.10;13.70;1.56;0.00;0.01;0.47;0.12;0.15;0.11;0.42;MG1;1
J1919;ZK143;ZK143;borehole;193.82;77.4;77.63;19. Sep 13;32.82;21.84;14.30;14.70;12.30;0.94;0.00;0.01;0.69;0.26;0.18;0.10;0.33;MG1;1
J1918;ZK144;ZK144;borehole;298.78;177.28;177.9;19. Sep 13;27.79;19.96;19.60;15.70;11.10;1.57;0.00;0.01;0.44;0.12;0.13;0.09;0.36;MG1;1
J1917;ZK145;ZK145;borehole;157.64;40.08;40.32;19. Sep 13;37.64;23.12;8.50;12.10;13.50;1.63;0.00;0.01;0.42;0.16;0.16;0.12;0.50;MG1;1
J1918;ZK145;ZK145;borehole;157.64;40.57;40.75;19. Sep 13;29.56;20.03;19.20;15.90;11.90;1.59;0.00;0.01;0.57;0.20;0.16;0.08;0.31;MG1;1
J1919;ZK146;ZK146;borehole;286.32;163.16;163.42;19. Sep 13;41.62;23.36;6.00;12.10;14.70;0.56;0.00;0.01;0.84;0.16;0.20;0.13;0.52;MG1;1
J1920;ZK146;ZK146;borehole;286.32;163.78;163.9;19. Sep 13;37.22;22.28;10.50;13.90;13.60;0.81;0.00;0.01;0.90;0.26;0.25;0.14;0.47;MG1;1
J1916;ZK148;ZK148;borehole;189.14;134.58;134.89;19. Sep 13;37.16;24.08;9.10;9.70;15.60;1.65;0.00;0.01;1.17;0.49;0.24;0.15;0.57;MG1;1
J1917;ZK148;ZK148;borehole;189.14;135.62;135.9;19. Sep 13;32.62;20.63;14.40;12.70;13.90;1.89;0.00;0.01;0.67;0.26;0.20;0.12;0.41;MG1;1
J1917;ZK150;ZK150;borehole;133.64;14.35;14.86;19. Sep 13;23.55;13.92;8.40;11.70;8.90;14.64;0.00;0.01;0.30;0.13;0.16;0.08;0.32;MG1;1
J1918;ZK150;ZK150;borehole;133.64;15.16;15.35;19. Sep 13;36.38;23.24;7.20;9.20;13.00;4.84;0.00;0.01;1.07;0.22;0.28;0.14;0.44;MG1;1
J1921;ZK151;ZK151;borehole;277.72;156.54;156.67;19. Sep 13;34.33;23.56;9.90;14.00;15.10;0.81;0.00;0.01;0.85;0.28;0.31;0.14;0.48;MG1;1
J1922;ZK151;ZK151;borehole;277.72;156.02;156.34;19. Sep 13;38.64;24.40;6.40;12.60;14.70;0.62;0.00;0.01;1.28;0.24;0.22;0.16;0.57;MG1;1
J1915;ZK152;ZK152;borehole;140.24;18.77;19.78;19. Sep 13;30.37;17.10;13.80;11.20;10.80;7.59;0.00;0.01;0.38;0.09;0.15;0.10;0.39;MG1;1
J1477;ZK132;ZK132;borehole;37.15;35;35.32;17. Sep 13;39.48;24.80;7.19;12.32;14.02;1.08;0.00;0.01;0.48;0.07;0.01;0.01;0.01;MG1;1
J1116;SC04;SC04;borehole;523;44.27;44.78;23. Dez 08;37.57;24.74;6.53;10.04;18.56;1.20;0.00;0.01;1.60;0.24;0.26;0.13;0.66;MG2;1
J1110;SC05;SC05;borehole;486.04;210.62;211.15;23. Feb 09;41.45;24.02;5.15;10.12;14.81;0.90;0.00;0.01;1.40;0.29;0.26;0.15;0.95;MG2;1
J1117;SC06;SC06;borehole;639.35;226.16;226.34;23. Feb 09;35.60;24.07;9.77;9.18;16.77;2.02;0.00;0.01;1.30;0.40;0.21;0.08;0.33;MG2;1
J1118;SC06;SC06;borehole;639.35;227.07;227.33;23. Feb 09;38.02;24.47;6.55;10.29;17.48;1.20;0.00;0.01;1.81;0.41;0.25;0.17;0.84;MG2;1
J1111;SC07;SC07;borehole;593.73;194.56;195.11;01. Jul 08;33.43;22.71;11.38;10.30;17.99;2.52;0.00;0.01;2.34;0.47;0.20;0.17;0.57;MG2;1
J1113;SC09;SC09;borehole;648.7;232.7;233.22;23. Feb 09;35.80;23.89;9.53;9.89;17.76;1.75;0.01;0.01;1.10;0.29;0.16;0.13;0.47;MG2;1
J1114;SC10;SC10;borehole;463.5;40.01;40.57;23. Feb 09;34.48;24.01;10.12;9.78;17.33;1.57;0.00;0.01;1.14;0.23;0.18;0.14;0.50;MG2;1
